ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa,best_time,fast_label
bcgs,ilu,1e-08,500,1,2,47,0.0082206670194864,2.5001955324141675e-08,7.46439075623274e-08,,ACTIVSg2000,4000,4000,29336,1,True,47.0,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472,0.0082206670194864,1
bcgs,jacobi,1e-08,500,1,2,268,0.0116510830121114,7.758053187873027e-08,2.0953108743901187e-06,,ACTIVSg2000,4000,4000,29336,1,True,268.0,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472,0.0082206670194864,0
gmres,ilu,1e-08,500,1,2,299,0.0263557090656831,2.103333983825433e-07,3.726904185421948e-06,,ACTIVSg2000,4000,4000,29336,1,True,299.0,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0,215.55902132831625,357.93489195508533,1.0,3954.387640009604,219.01990277090584,355.8277121657939,1.771940706542717,3954.4466490824,1.0,3298.50764448534,0.0,0.2090267941102808,4909.753714571582,4980.118598193536,3954.387640009604,19693319.430478472,0.0082206670194864,0
bcgs,ilu,1e-08,500,1,2,7,0.0547241249587386,1.0142057177257754e-06,2.360144269227301e-08,,CAG_mat1916,1916,1916,195985,1,True,7.0,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935,0.0529603750910609,1
gmres,ilu,1e-08,500,1,2,11,0.0529603750910609,2.0504883300230017e-07,5.450605380487579e-09,,CAG_mat1916,1916,1916,195985,1,True,11.0,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495,26.311519050749695,20.6145634998671,1.4142135623730951,223.63810051062407,17.823280099244457,28.276968535398083,1.4142135623730951,457.9639723821078,1.0,144.0,0.0,1.1270799640279527,453.41006506090713,917.127410272731,158.13601740274098,145030.87611141935,0.0529603750910609,1
bcgs,ilu,1e-08,500,1,2,48,0.0046801669523119,695191.9339315707,7549904.793476298,,Chebyshev2,2053,2053,18447,1,True,48.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43,0.0001192920608446,0
bcgs,jacobi,1e-08,500,1,2,9,0.0003874580143019,15.20473424766979,2.0560894823046096,,Chebyshev2,2053,2053,18447,1,True,9.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43,0.0001192920608446,0
gmres,ilu,1e-08,500,1,2,269,0.0139028750127181,886261.8945433868,1529346739.897411,,Chebyshev2,2053,2053,18447,1,True,269.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43,0.0001192920608446,0
gmres,jacobi,1e-08,500,1,2,4,0.0001192920608446,17.00676258320047,2.060359180887385,,Chebyshev2,2053,2053,18447,1,True,4.0,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186,22.72402288147858,638.9030854521799,0.000109005568746,20276.640355528096,25.184452438750547,638.8108305058657,0.0001090235146206,20000.0001,1e-05,697.9166766666666,0.0,1.4133178832088584,727.4154013020928,20241.103915928234,186014720.0623551,3765143278674.43,0.0001192920608446,1
bcgs,jacobi,1e-08,500,1,2,4,0.0003230420406907,114.3378108626,1.87736134867793,,Chebyshev3,4101,4101,36879,1,True,4.0,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049,1130.4739590669406,45079.84390056897,0.000258897938314,2017531.790805432,1229.2672943045309,45077.25811749143,0.0002589215229132,2000000.000001,1e-05,58541.66667666667,0.0,1.4135793968686845,61096.20336447615,2013127.8812677313,7792768856.885081,1.5687840258070224e+16,0.0001176669029518,0
gmres,jacobi,1e-08,500,1,2,2,0.0001176669029518,111.06768803668248,1.7980338588300744,,Chebyshev3,4101,4101,36879,1,True,2.0,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049,1130.4739590669406,45079.84390056897,0.000258897938314,2017531.790805432,1229.2672943045309,45077.25811749143,0.0002589215229132,2000000.000001,1e-05,58541.66667666667,0.0,1.4135793968686845,61096.20336447615,2013127.8812677313,7792768856.885081,1.5687840258070224e+16,0.0001176669029518,1
