ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used,applicable,converged_clean,iterations_clean,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct,row_norm2_mean,row_norm2_std,row_norm2_min,row_norm2_max,col_norm2_mean,col_norm2_std,col_norm2_min,col_norm2_max,diag_abs_min,diag_abs_max,tiny_diag_fraction,symmetry_numeric_fro_ratio,spec_radius_est,sigma_max_est_power,row_norm2_spread,pseudo_kappa
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt,4720,4720,27444,0,False,,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,0.0,0.0,1.0,0.0,5.796031434632528,5.910557455707107,1.7320508075688774,10.237385814339746
bcgs,jacobi,1e-08,500,0,-3,500,0.0243897499749436,0.0099393290318082,0.0103482150009534,,3elt,4720,4720,27444,1,False,,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,0.0,0.0,1.0,0.0,5.796031434632528,5.910557455707107,1.7320508075688774,10.237385814339746
cg,jacobi,1e-08,500,0,-10,3,0.0008342909859493,12.996415623628565,0.1006889913338421,,3elt,4720,4720,27444,0,False,,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,0.0,0.0,1.0,0.0,5.796031434632528,5.910557455707107,1.7320508075688774,10.237385814339746
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt,4720,4720,27444,0,False,,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,0.0,0.0,1.0,0.0,5.796031434632528,5.910557455707107,1.7320508075688774,10.237385814339746
gmres,jacobi,1e-08,500,0,-3,500,0.0234542080434039,0.020386400365015,0.012287525621603,,3elt,4720,4720,27444,1,False,,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,2.406800492552299,0.147370854347221,1.7320508075688772,3.0,0.0,0.0,1.0,0.0,5.796031434632528,5.910557455707107,1.7320508075688774,10.237385814339746
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt_dual,9000,9000,26556,0,False,,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,2.8837029721086624,2.93689535279253,1.224744871391589,3.5969475211464426
bcgs,jacobi,1e-08,500,0,-3,500,0.0350135420449078,0.0149033317476995,0.0090043569413317,,3elt_dual,9000,9000,26556,1,False,,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,2.8837029721086624,2.93689535279253,1.224744871391589,3.5969475211464426
cg,jacobi,1e-08,500,0,-10,2,0.0001314579276368,13.688430138469377,0.0731977718274958,,3elt_dual,9000,9000,26556,0,False,,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,2.8837029721086624,2.93689535279253,1.224744871391589,3.5969475211464426
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt_dual,9000,9000,26556,0,False,,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,2.8837029721086624,2.93689535279253,1.224744871391589,3.5969475211464426
gmres,jacobi,1e-08,500,0,-3,500,0.0374302500858902,0.0015141346254318,0.0010985556910798,,3elt_dual,9000,9000,26556,1,False,,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,1.716370836805885,0.0688318039058361,1.4142135623730951,1.7320508075688772,0.0,0.0,1.0,0.0,2.8837029721086624,2.93689535279253,1.224744871391589,3.5969475211464426
