ksp,pc,rtol,max_it,converged,reason,iterations,solve_time_sec,final_residual_norm,rel_error_to_ones,note,matrix_id,nrows,ncols,nnz_used
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt,4720,4720,27444
bcgs,jacobi,1e-08,500,0,-3,500,0.0243897499749436,0.0099393290318082,0.0103482150009534,,3elt,4720,4720,27444
cg,jacobi,1e-08,500,0,-10,3,0.0008342909859493,12.996415623628565,0.1006889913338421,,3elt,4720,4720,27444
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt,4720,4720,27444
gmres,jacobi,1e-08,500,0,-3,500,0.0234542080434039,0.020386400365015,0.012287525621603,,3elt,4720,4720,27444
bcgs,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt_dual,9000,9000,26556
bcgs,jacobi,1e-08,500,0,-3,500,0.0350135420449078,0.0149033317476995,0.0090043569413317,,3elt_dual,9000,9000,26556
cg,jacobi,1e-08,500,0,-10,2,0.0001314579276368,13.688430138469377,0.0731977718274958,,3elt_dual,9000,9000,26556
gmres,ilu,1e-08,500,0,-998,0,0.0,,,EXCEPTION_Error,3elt_dual,9000,9000,26556
gmres,jacobi,1e-08,500,0,-3,500,0.0374302500858902,0.0015141346254318,0.0010985556910798,,3elt_dual,9000,9000,26556
bcgs,ilu,1e-08,500,1,2,47,0.0082206670194864,2.5001955324141675e-08,7.46439075623274e-08,,ACTIVSg2000,4000,4000,29336
bcgs,jacobi,1e-08,500,1,2,268,0.0116510830121114,7.758053187873027e-08,2.0953108743901187e-06,,ACTIVSg2000,4000,4000,29336
cg,jacobi,1e-08,500,0,-4,6,0.0002651669783517,371234.0698475035,5688.946903586881,,ACTIVSg2000,4000,4000,29336
gmres,ilu,1e-08,500,1,2,299,0.0263557090656831,2.103333983825433e-07,3.726904185421948e-06,,ACTIVSg2000,4000,4000,29336
gmres,jacobi,1e-08,500,0,-3,500,0.0201209590304642,0.0019250962446785,0.6185929348530803,,ACTIVSg2000,4000,4000,29336
bcgs,ilu,1e-08,500,0,-3,500,0.1212027090368792,281767.7188776044,261.5378002774181,,Alemdar,6245,6245,42581
bcgs,jacobi,1e-08,500,0,-3,500,0.0362082499777898,0.5844806509076419,0.0209957626740982,,Alemdar,6245,6245,42581
cg,jacobi,1e-08,500,0,-10,3,0.0002426250139251,391.70633430723655,0.2864479191305343,,Alemdar,6245,6245,42581
gmres,ilu,1e-08,500,0,-3,500,0.0778276249766349,3553.864860696292,6.064584635369274,,Alemdar,6245,6245,42581
gmres,jacobi,1e-08,500,0,-3,500,0.0314534170320257,0.959013695613991,0.033254607785,,Alemdar,6245,6245,42581
