matrix_id,nrows,ncols,nnz,density,nnz_per_row_mean,nnz_per_row_std,nnz_per_row_min,nnz_per_row_max,zero_diag_fraction,diag_abs_mean,diag_abs_std,diag_dominance_fraction,norm_1,norm_inf,symmetry_score_struct
3elt,4720,4720,27444,0.0012318658431485,5.814406779661017,0.6707288501790503,3.0,9.0,1.0,0.0,0.0,0.0,9.0,9.0,1.0
3elt_dual,9000,9000,26556,0.0003278518518518,2.9506666666666668,0.2165630521477649,2.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0
ACTIVSg2000,4000,4000,29336,0.0018335,7.334,3.3449131528337173,4.0,34.0,0.0,179.95220982001692,306.65881269927445,0.0725,6880.741920381477,6885.281652522031,1.0
Alemdar,6245,6245,42581,0.001091819812936,6.8184147317854285,2.360947357921529,1.0,10.0,0.0,1.0,0.0,0.0008006405124099,82.0,82.0,1.0
Binaryalphadigs_10NN,1404,1404,19392,0.0098375824871551,13.811965811965813,3.787289337118001,10.0,31.0,1.0,0.0,0.0,0.0,3.3274985218761457,3.3274985218761457,1.0
CAG_mat1916,1916,1916,195985,0.0533865459965742,102.28862212943632,59.27616355452157,2.0,279.0,0.0,5.086116910229645,7.643504983246935,0.0010438413361169,9453.0,1416.0,0.307094930734495
CSphd,1882,1882,1740,0.0004912584233879,0.924548352816153,2.3089354068757055,0.0,45.0,1.0,0.0,0.0,0.6158342189160467,3.0,45.0,0.0
California,9664,9664,16150,0.0001729253582627,1.6711506622516556,3.6955052124593375,0.0,164.0,1.0,0.0,0.0,0.4798220198675497,199.0,164.0,0.0224148606811145
Chebyshev2,2053,2053,18447,0.0043767107833356,8.985387238188018,90.28943976502404,3.0,2053.0,0.0,0.7930284602640482,19.829168348530768,0.92498782269849,20004.0,24375.00001,0.5558085325527186
Chebyshev3,4101,4101,36879,0.0021928029044247,8.992684711046087,127.84401288852536,3.0,4101.0,0.0,31.39536102188515,1171.7518425621276,0.8836869056327725,2000004.0,2353125.00001,0.5556820955015049
Chem97ZtZ,2541,2541,7361,0.0011400594206218,2.8968909878000786,5.599832228849781,2.0,101.0,0.0,46.60274898071626,134.91700892739095,1.0,2287.0238,2287.0238,1.0
CollegeMsg,1899,1899,20296,0.0056280834041141,10.687730384412848,21.867592167708988,0.0,237.0,1.0,0.0,0.0,0.2890995260663507,558.0,1091.0,0.6363815530153725
Dubcova1,16129,16129,253009,0.000972570486278,15.686589373178746,5.776977646000494,4.0,25.0,0.0,1.725984251968499,0.6599458697932038,0.0004960009920019,8.599319657044235,8.599319657044237,1.0
Dubcova2,65025,65025,1030225,0.0002436527754312,15.843521722414456,5.762182765864774,4.0,25.0,0.0,1.729673202614374,0.6599612543756807,0.0001230296039984,8.599319657044246,8.599319657044244,1.0
EPA,4772,4772,8965,0.0003936855040825,1.8786672254819785,8.899489379518808,0.0,175.0,1.0,0.0,0.0,0.701802179379715,124.0,175.0,0.0124930284439486
EVA,8497,8497,6726,9.31591734174634e-05,0.7915734965281864,8.936517684115369,0.0,552.0,0.99976462280805,0.0002353771919501,0.0153402017433803,0.8408850182417323,6.0,552.0,0.0041629497472494
Erdos02,6927,6927,16944,0.0003531226439082,2.4460805543525335,8.422025019326755,0.0,507.0,1.0,0.0,0.0,0.2010971560560127,507.0,507.0,1.0
Erdos972,5488,5488,14170,0.0004704805183214,2.581997084548105,5.948685777880398,0.0,61.0,1.0,0.0,0.0,0.1346574344023323,61.0,61.0,1.0
